index,day_date
2020-05-13,2309
2020-05-31,2264
2020-06-02,1943
2020-05-27,1619
2020-07-05,1595
2021-01-20,1402
2020-05-14,1261
2020-06-12,1243
2020-06-08,1167
2020-06-16,1151
2020-05-15,1115
2020-06-10,1008
2020-06-09,970
2020-05-21,845
2020-05-18,810
2020-06-04,797
2020-06-01,796
2021-01-30,724
2020-06-05,692
2021-01-28,676
2021-01-24,672
2021-01-19,657
2020-06-18,632
2021-01-23,606
2020-05-12,599
2021-01-29,587
2020-06-20,581
2020-06-17,571
2021-01-31,558
2021-02-16,540
2021-01-21,522
2021-02-01,518
2021-02-06,518
2021-01-25,484
2021-01-17,466
2021-01-14,439
2020-05-09,425
2021-04-21,415
2020-12-14,407
2020-05-22,404
2020-06-23,402
2020-05-10,402
2021-02-09,388
2021-01-06,385
2021-05-31,380
2021-02-17,374
2021-07-16,373
2021-01-13,373
2021-01-10,365
2021-04-16,360
2020-06-25,358
2020-06-11,356
2020-10-25,355
2020-10-08,345
2021-01-11,344
2020-05-16,340
2020-05-30,337
2021-04-20,336
2021-01-12,330
2021-01-27,329
2020-06-22,328
2020-05-24,327
2021-06-20,322
2021-01-22,321
2021-02-04,321
2021-01-18,316
2020-06-24,315
2020-06-30,315
2021-01-26,311
2021-01-08,310
2021-05-23,309
2021-02-02,307
2020-06-03,304
2021-03-22,299
2021-04-23,298
2021-04-15,297
2020-07-02,291
2020-07-18,287
2021-06-10,283
2021-03-31,280
2020-05-11,280
2021-04-17,277
2021-04-18,274
2021-07-15,273
2020-06-29,273
2020-11-03,272
2021-02-07,270
2021-06-02,267
2020-11-04,264
2021-04-01,262
2021-04-06,261
2021-01-16,258
2021-02-10,258
2021-01-07,258
2021-02-05,257
2021-02-08,257
2021-01-09,255
2021-04-14,253
2021-06-13,252
2021-06-25,251
2020-05-28,249
2021-04-07,248
2021-04-03,248
2021-03-25,246
2021-06-01,246
2020-06-19,246
2021-01-15,242
2021-04-05,242
2021-06-17,240
2021-03-30,240
2021-05-26,236
2020-05-20,234
2021-06-18,232
2020-06-27,229
2021-04-08,224
2021-05-24,223
2021-05-19,223
2020-06-13,221
2020-08-04,220
2021-03-19,219
2020-12-24,219
2021-02-11,218
2021-03-28,217
2020-07-30,217
2021-06-22,217
2020-06-15,215
2021-07-11,213
2021-04-19,213
2021-05-17,213
2021-05-14,211
2021-06-16,211
2021-05-18,209
2021-05-20,207
2021-02-03,207
2021-04-27,206
2021-04-09,206
2021-07-08,205
2021-03-16,205
2021-05-22,204
2020-08-07,201
2020-07-03,200
2020-08-21,199
2021-05-30,197
2020-11-05,194
2021-06-09,193
2021-06-14,191
2021-05-06,190
2020-06-21,190
2021-05-25,189
2021-04-22,189
2021-07-13,189
2020-12-06,187
2021-06-15,187
2020-07-06,184
2021-04-13,184
2021-06-23,183
2021-05-13,182
2021-07-07,182
2021-03-15,181
2020-06-06,181
2021-06-27,181
2021-03-11,181
2021-03-26,179
2021-07-14,179
2021-07-05,179
2020-11-06,178
2021-03-21,178
2021-06-29,178
2021-07-10,177
2021-02-13,176
2020-11-09,173
2020-07-10,172
2020-12-25,172
2021-05-29,171
2021-05-28,170
2020-07-07,170
2020-05-19,167
2020-06-14,166
2020-12-15,165
2021-03-01,165
2021-06-07,164
2021-07-09,162
2021-06-08,162
2020-07-14,161
2021-07-06,160
2021-04-04,160
2020-05-23,159
2021-06-05,159
2020-07-01,159
2020-10-05,159
2021-02-19,158
2020-12-16,158
2021-02-14,158
2020-10-26,157
2021-01-03,157
2021-03-20,156
2021-05-12,155
2021-06-04,155
2021-03-10,154
2020-10-13,154
2020-10-12,154
2020-10-19,154
2021-01-01,154
2020-09-29,153
2021-03-18,152
2020-12-26,152
2021-04-28,151
2021-06-19,150
2020-08-28,149
2021-02-12,149
2021-03-24,148
2021-02-15,148
2021-04-24,146
2021-06-03,146
2021-04-29,145
2021-05-27,145
2021-06-30,144
2021-04-12,144
2021-03-27,142
2021-06-26,142
2020-11-15,140
2021-01-04,138
2020-11-07,136
2021-06-11,136
2020-12-08,136
2020-11-11,136
2021-06-28,135
2020-08-31,135
2020-10-11,135
2020-05-29,135
2021-03-02,134
2021-01-02,134
2020-10-17,133
2021-07-04,132
2020-12-12,131
2020-12-31,130
2020-07-31,130
2020-11-13,130
2021-06-06,130
2020-11-02,129
2021-06-12,129
2020-07-08,129
2021-03-17,128
2020-09-03,128
2021-02-26,128
2021-05-15,128
2021-07-12,127
2021-03-29,127
2020-08-09,126
2021-01-05,126
2021-05-07,126
2021-03-23,125
2020-09-08,124
2020-10-29,124
2020-07-09,124
2020-07-23,123
2020-12-03,122
2021-04-11,122
2021-06-24,121
2021-07-02,121
2021-05-11,121
2020-12-20,121
2021-05-02,121
2020-11-10,120
2020-09-18,120
2020-07-04,119
2020-12-18,118
2021-05-21,117
2020-08-29,117
2020-10-30,117
2021-03-12,116
2020-11-12,114
2021-02-18,114
2021-04-02,114
2020-12-13,113
2020-06-26,113
2020-08-27,113
2020-12-29,113
2020-09-12,113
2020-05-26,112
2020-10-18,111
2020-09-11,111
2020-08-05,109
2020-11-14,109
2021-02-25,108
2020-08-20,108
2020-12-23,108
2021-05-05,108
2020-07-15,107
2021-02-28,107
2020-12-22,106
2021-04-10,106
