index,day_date
2021-05-30,314
2021-06-12,271
2021-05-15,256
2021-06-16,255
2021-05-19,250
2021-04-15,246
2021-06-02,236
2021-06-10,230
2021-06-04,228
2021-07-09,227
2021-07-14,227
2021-05-20,222
2021-06-07,216
2021-05-13,206
2021-07-12,203
2021-06-28,202
2021-06-27,200
2021-07-10,200
2021-04-08,198
2021-05-25,197
2021-05-07,197
2021-07-05,196
2021-06-14,195
2021-06-03,193
2021-05-12,189
2021-05-31,189
2021-05-28,188
2021-06-06,188
2021-06-25,187
2021-06-18,187
2021-05-22,185
2021-07-07,183
2021-07-03,180
2021-06-11,178
2021-06-22,177
2021-05-06,176
2021-07-08,175
2021-07-15,175
2021-05-23,171
2021-06-17,169
2021-04-16,169
2021-06-30,169
2021-06-23,167
2021-05-17,167
2021-05-16,166
2021-06-24,166
2021-06-01,164
2021-05-11,162
2021-05-14,161
2021-04-13,161
2021-06-29,160
2021-05-18,158
2021-06-09,156
2021-06-13,153
2021-06-20,150
2021-06-15,149
2021-04-04,149
2021-05-21,148
2021-04-05,146
2021-07-13,145
2021-05-24,145
2021-04-30,145
2021-07-02,144
2021-04-12,143
2021-05-02,142
2021-04-09,142
2021-06-05,141
2021-03-29,140
2021-05-09,137
2021-03-15,135
2021-04-11,134
2021-06-21,132
2021-04-18,132
2021-04-22,131
2021-05-26,128
2021-06-26,123
2021-04-25,121
2021-07-11,121
2021-06-08,120
2021-06-19,119
2021-04-07,119
2021-03-02,117
2021-07-06,114
2021-04-17,114
2021-07-01,114
2021-07-04,113
2021-05-27,111
2021-03-18,110
2021-04-10,107
2021-05-10,102
2021-05-29,101
2021-03-25,100
2021-04-21,99
2021-04-26,97
2021-04-20,95
2021-04-23,93
2021-03-27,91
2021-05-05,91
2021-04-14,90
2021-03-16,90
2021-02-27,90
2021-04-28,87
2021-04-01,86
2021-03-24,83
2021-03-19,80
2021-03-12,80
2021-03-26,76
2021-05-03,72
2021-02-24,68
2021-04-19,68
2021-03-22,66
2021-04-02,65
2021-03-14,65
2021-03-17,65
2021-03-04,64
2021-04-24,62
2021-03-09,61
2021-03-30,60
2021-04-03,60
2021-03-07,59
2021-02-28,58
2021-02-23,55
2021-03-10,52
2021-02-25,52
2021-04-06,52
2021-03-20,51
2021-03-21,50
2021-02-19,49
2021-03-08,47
2021-04-29,46
2021-04-27,45
2021-03-11,44
2021-02-18,43
2021-02-17,41
2021-03-23,38
2021-02-15,38
2021-03-06,37
2021-07-16,36
2021-05-04,34
2021-03-05,34
2021-05-08,34
2021-03-13,33
2021-02-16,33
2021-03-01,32
2021-03-31,30
2021-02-22,30
2021-03-28,29
2021-05-01,28
2021-02-26,26
2021-02-14,21
2021-02-21,20
2021-03-03,17
2021-02-20,14
2021-02-13,12
