index,day_date
2021-01-20,1617
2021-01-11,1207
2021-01-13,847
2020-06-03,627
2021-01-21,568
2021-01-15,536
2021-01-14,515
2021-01-23,475
2020-06-12,409
2021-01-09,384
2021-01-12,377
2021-01-22,377
2020-10-25,373
2021-01-17,359
2020-06-09,334
2021-01-16,328
2021-01-10,327
2021-01-18,318
2020-06-10,278
2021-05-31,265
2021-02-14,263
2020-06-01,260
2021-02-12,245
2020-06-07,240
2021-01-19,231
2020-06-14,217
2020-05-17,215
2021-06-11,213
2020-06-11,210
2020-05-29,209
2021-03-05,203
2021-02-13,200
2021-04-09,196
2021-03-22,195
2020-06-05,192
2020-05-20,189
2020-05-30,186
2020-05-16,186
2020-06-04,182
2021-04-12,180
2020-06-15,177
2021-01-24,177
2020-06-23,173
2021-04-08,173
2020-05-22,170
2020-06-08,168
2020-05-26,168
2020-09-04,165
2021-04-07,165
2020-05-18,165
2021-01-08,164
2021-04-22,164
2020-05-24,162
2021-02-11,159
2020-05-19,157
2020-06-06,156
2021-04-14,155
2020-06-02,153
2020-05-23,152
2021-02-03,146
2021-01-25,145
2021-01-28,141
2021-01-29,138
2021-03-04,137
2021-02-01,137
2021-05-06,136
2021-06-30,135
2021-05-29,134
2020-06-28,133
2021-02-16,131
2021-04-24,131
2021-04-11,130
2020-06-13,128
2021-06-09,125
2021-06-25,125
2021-03-01,125
2021-03-03,123
2020-06-16,123
2021-06-13,122
2021-04-23,122
2021-05-17,122
2020-11-11,121
2021-06-14,120
2020-05-21,119
2021-06-07,119
2021-03-02,117
2021-02-04,117
2021-06-06,117
2020-07-07,116
2021-01-27,116
2021-05-05,115
2021-05-18,115
2021-01-07,113
2021-04-10,113
2021-04-28,112
2021-01-06,112
2021-04-06,112
2021-03-12,111
2021-05-01,111
2020-09-19,110
2021-03-27,110
2020-05-25,110
2021-01-26,108
2021-05-04,107
2021-04-13,105
2021-03-28,105
2021-06-02,104
2021-04-29,102
2021-05-28,102
2020-06-18,101
2021-01-31,101
2021-04-26,100
2021-02-02,99
2021-02-05,98
2021-04-25,98
2021-06-08,97
2021-04-02,96
2021-05-30,94
2020-06-24,94
2021-04-20,93
2021-06-10,91
2021-06-04,91
2020-06-27,90
2021-04-05,90
2021-06-03,89
2021-06-01,88
2021-07-01,88
2021-05-10,88
2021-06-27,85
2021-06-16,85
2020-08-31,85
2021-07-11,85
2020-08-29,84
2020-05-28,84
2021-02-24,84
2021-02-09,83
2021-07-15,82
2020-09-09,82
2021-06-05,81
2021-06-26,81
2021-01-30,81
2021-02-19,81
2021-07-10,81
2021-02-21,81
2021-04-03,81
2021-03-16,80
2021-07-09,80
2021-05-26,79
2021-05-16,79
2020-12-28,78
2020-09-10,78
2020-09-12,78
2021-05-25,77
2020-09-14,76
2021-06-18,76
2021-06-17,76
2021-03-19,76
2021-05-27,75
2021-02-10,74
2020-11-17,74
2020-06-19,74
2020-09-05,74
2020-06-21,73
2020-09-11,73
2021-07-03,72
2021-04-01,72
2021-02-22,72
2021-03-17,72
2021-06-20,71
2021-03-26,71
2021-02-26,71
2021-01-04,71
2021-04-17,70
2021-02-07,70
2020-05-31,69
2021-02-18,69
2021-06-24,69
2020-05-27,69
2020-09-01,69
2021-05-08,68
2021-05-13,68
2021-07-12,68
2021-07-08,68
2021-02-17,67
2020-09-02,67
2021-03-06,66
2021-02-28,65
2021-03-25,65
2020-09-16,64
2021-03-29,64
2020-09-15,64
2021-02-08,64
2020-09-13,64
2021-03-18,63
2021-04-18,63
2021-04-30,63
2021-06-12,63
2021-05-21,63
2021-05-14,63
2021-07-05,62
2020-07-02,61
2021-06-21,61
2021-03-30,60
2021-03-31,60
2021-05-11,60
2020-09-08,59
2020-07-04,59
2020-08-14,59
2021-04-16,59
2020-06-29,59
2021-04-21,58
2020-09-03,57
2020-07-09,57
2020-08-28,57
2020-11-16,57
2020-07-10,57
2021-07-07,57
2021-05-09,57
2020-07-08,57
2020-12-22,57
2021-03-10,56
2020-11-04,55
2021-03-11,55
2020-08-27,55
2021-06-19,55
2021-07-06,55
2021-06-15,54
2021-02-20,54
2020-11-28,54
2021-03-24,54
2021-03-08,54
2021-02-06,53
2020-11-12,53
2021-05-20,53
2021-05-07,53
2020-11-18,52
2021-03-09,52
2021-06-22,52
2021-06-23,52
2021-05-23,52
2020-10-18,51
2021-03-15,51
2020-08-18,51
2021-05-03,51
2021-03-23,51
2021-04-27,51
2020-12-31,51
2020-06-26,51
2021-02-25,50
2020-12-27,50
2021-07-13,50
2020-12-20,50
2021-02-27,49
2020-11-03,49
2021-03-21,48
2020-08-30,48
2020-06-20,48
2021-05-12,48
2021-03-07,48
2021-04-04,48
2020-08-26,48
2021-05-15,47
2021-04-15,47
2021-05-02,47
2021-05-19,47
2020-11-09,47
2020-12-15,46
2021-05-24,46
2020-08-25,46
2020-12-13,46
2020-06-25,46
2020-12-04,45
2020-09-23,44
2020-09-18,44
2021-02-23,44
2021-04-19,44
2020-10-26,44
2020-10-14,44
2021-01-01,44
2020-11-25,44
2021-07-02,44
2020-07-06,43
2020-12-12,43
2020-07-01,43
2020-12-05,43
2021-01-03,42
2020-06-17,42
2020-12-16,42
2020-12-18,42
2020-11-14,42
2020-10-03,41
2020-11-08,41
2021-03-13,40
2020-12-23,40
2021-05-22,40
2021-03-20,40
2020-10-28,39
2020-12-08,39
2020-09-25,39
2020-11-23,39
2021-06-28,39
2020-06-30,39
2020-12-30,39
2020-12-29,38
2020-09-17,38
2020-12-21,38
2020-11-20,38
2020-07-03,38
2021-07-04,37
2020-08-19,37
2020-12-14,37
2020-09-20,37
2020-08-24,37
2020-11-10,37
2020-10-27,37
2020-07-23,36
2020-07-16,36
2020-11-24,36
2020-07-11,36
2020-10-15,36
2020-10-05,36
2020-08-23,35
2020-11-05,35
2020-12-19,35
2020-09-29,35
2020-12-02,34
2020-07-12,34
2020-12-01,34
2020-08-04,34
2021-01-05,34
2020-09-24,34
2020-11-06,34
2021-01-02,34
2020-09-30,33
2020-11-15,33
2020-11-19,33
2021-03-14,32
2020-11-02,32
2020-10-30,32
2021-07-16,32
2020-08-21,32
2020-10-29,32
2020-06-22,32
2020-09-28,31
2020-09-07,31
2020-11-13,31
2020-10-13,31
2020-10-23,31
2021-06-29,31
2020-12-26,30
2020-07-18,30
2020-07-14,30
2020-10-12,30
2020-10-09,30
2020-12-09,30
2020-12-11,29
2020-11-30,29
2020-12-06,29
2020-09-06,29
2020-12-25,29
2020-10-07,29
2020-12-03,29
2020-11-01,28
2020-10-06,28
2020-10-16,27
2021-02-15,27
2020-12-24,27
2020-10-31,27
2020-11-29,26
2020-11-07,26
2020-07-05,26
2020-11-22,26
2020-09-22,25
2020-08-08,25
2020-10-22,24
2020-11-26,24
2021-07-14,24
2020-08-20,24
2020-12-10,24
2020-07-22,24
2020-12-17,23
2020-11-27,23
2020-10-21,23
2020-08-17,22
2020-07-13,22
2020-07-26,22
2020-08-07,22
2020-10-17,21
2020-08-05,21
2020-12-07,21
2020-07-24,21
2020-09-26,20
2020-07-25,19
2020-07-19,19
2020-10-11,18
2020-10-19,17
2020-08-01,17
2020-07-20,16
2020-10-20,16
2020-07-21,16
2020-10-01,16
2020-08-22,15
2020-09-27,15
2020-08-12,15
2020-07-17,15
2020-08-03,15
2020-07-15,15
2020-11-21,15
2020-10-10,14
2020-10-24,14
2020-08-11,13
2020-08-16,13
2020-07-29,13
2020-10-04,13
2020-10-02,12
2020-10-08,12
2020-07-30,12
2020-09-21,12
2020-07-28,11
2020-08-10,11
2020-08-02,10
2020-08-09,9
2020-08-06,8
2020-07-27,6
2020-08-13,5
2020-08-15,5
2020-07-31,3
