index,day_date
2020-11-15,1349
2021-01-26,1330
2021-01-20,1305
2021-02-02,950
2021-01-27,837
2021-02-05,830
2021-01-07,782
2020-11-14,778
2021-01-06,771
2021-02-03,770
2021-01-29,725
2020-11-04,716
2021-02-07,712
2021-01-28,706
2021-02-09,706
2021-02-01,703
2021-01-31,694
2021-02-10,683
2021-01-10,661
2021-01-19,618
2021-01-24,613
2021-02-06,612
2021-02-08,609
2021-02-16,597
2021-01-30,594
2021-01-08,588
2021-02-04,580
2021-01-16,558
2021-02-11,535
2021-01-18,530
2021-02-13,519
2021-01-25,486
2021-02-17,484
2021-01-11,475
2021-01-12,471
2021-02-18,447
2021-02-22,435
2020-11-03,433
2021-01-21,429
2021-02-19,426
2021-02-12,422
2020-11-05,421
2021-02-15,412
2021-01-13,412
2021-02-20,410
2020-11-16,409
2021-01-23,398
2021-04-27,392
2021-01-22,390
2021-01-14,383
2021-01-15,378
2021-02-14,372
2021-02-21,372
2020-11-17,365
2021-05-04,361
2021-03-18,353
2021-01-17,351
2020-11-11,351
2021-03-25,349
2020-11-06,343
2021-03-06,343
2021-05-05,343
2021-05-03,342
2021-01-09,341
2021-04-28,339
2020-11-12,339
2020-11-18,327
2021-02-28,326
2021-03-17,315
2021-04-14,311
2021-04-05,311
2021-03-23,308
2021-05-06,306
2021-02-25,299
2021-03-19,295
2021-05-01,293
2021-04-13,291
2021-03-07,288
2021-03-01,286
2021-04-09,285
2021-03-27,285
2021-04-24,281
2021-03-22,281
2021-04-03,280
2021-02-26,278
2021-03-29,273
2021-02-24,273
2021-02-23,272
2021-03-02,270
2020-11-13,270
2020-08-18,268
2021-03-20,263
2021-04-01,263
2020-12-14,257
2021-04-11,255
2021-03-30,253
2020-08-15,253
2021-03-11,252
2021-04-15,251
2021-05-02,251
2021-03-16,248
2021-04-07,246
2021-04-25,245
2021-03-24,243
2021-04-18,243
2021-04-10,241
2021-03-10,240
2021-04-26,240
2021-04-06,239
2021-04-21,235
2020-08-17,234
2020-11-28,231
2021-03-05,230
2021-04-19,226
2021-04-12,224
2021-04-04,223
2021-03-08,222
2020-09-20,221
2021-04-08,221
2021-04-20,220
2020-11-19,218
2021-04-02,218
2021-03-26,218
2021-03-28,217
2021-04-29,215
2021-02-27,215
2020-08-31,215
2021-04-17,213
2020-11-10,210
2020-12-12,208
2020-09-29,207
2021-03-31,199
2020-09-06,197
2021-04-22,197
2020-10-04,196
2020-08-19,196
2021-04-16,196
2020-12-18,195
2021-01-05,194
2021-03-09,190
2021-04-23,190
2021-03-03,189
2021-03-21,187
2020-09-07,185
2020-12-24,183
2021-04-30,174
2020-10-30,173
2021-03-04,171
2020-08-01,167
2020-12-11,164
2021-03-15,161
2020-11-20,161
2020-11-22,160
2020-10-29,160
2020-12-15,159
2020-11-25,158
2020-08-30,157
2020-09-09,156
2020-12-28,150
2020-08-16,150
2020-11-09,149
2020-11-07,146
2020-08-02,146
2020-07-31,145
2020-08-29,145
2020-08-23,144
2021-03-13,142
2020-09-05,141
2020-09-13,140
2020-09-04,139
2020-11-02,138
2020-09-14,137
2021-03-12,137
2020-09-01,136
2020-12-19,135
2020-08-04,135
2021-03-14,133
