index,day_date
2021-02-28,450
2021-02-14,435
2021-03-03,434
2021-07-06,424
2021-06-23,406
2021-05-25,397
2021-06-26,389
2021-05-31,380
2021-02-27,377
2021-02-22,352
2021-04-13,352
2021-03-02,329
2021-03-01,325
2021-06-18,313
2021-04-20,307
2021-06-24,306
2021-04-27,297
2021-04-14,293
2021-04-21,292
2021-02-16,291
2021-06-04,287
2021-04-25,286
2021-06-17,282
2021-06-25,279
2021-04-23,278
2021-06-13,275
2021-06-20,274
2021-06-11,273
2021-07-12,271
2021-06-22,271
2021-07-15,263
2021-05-04,263
2021-05-16,262
2021-02-24,262
2021-05-28,262
2021-06-02,261
2021-05-30,254
2021-04-19,252
2021-06-16,251
2021-05-24,250
2021-06-03,248
2021-06-29,248
2021-05-20,243
2021-06-09,242
2021-05-17,240
2021-06-10,235
2021-06-14,233
2021-07-02,232
2021-04-08,232
2021-04-22,230
2021-04-12,228
2021-06-06,225
2021-07-03,220
2021-02-23,220
2021-06-21,220
2021-07-14,219
2021-07-08,216
2021-07-09,216
2021-04-18,216
2021-06-27,212
2021-06-28,211
2021-02-25,210
2021-02-26,208
2021-06-19,208
2021-02-15,205
2021-04-28,202
2021-06-15,201
2021-04-15,199
2021-05-19,198
2021-05-26,196
2021-07-05,196
2021-06-01,196
2021-07-07,190
2021-04-16,187
2021-02-20,186
2021-04-06,186
2021-03-08,183
2021-06-05,183
2021-06-07,181
2021-04-03,181
2021-06-08,179
2021-07-01,178
2021-05-06,176
2021-07-10,173
2021-05-10,170
2021-06-12,169
2021-03-25,169
2021-03-14,167
2021-03-26,167
2021-07-13,166
2021-03-27,166
2021-07-11,166
2021-03-17,164
2021-05-23,163
2021-07-04,163
2021-04-26,163
2021-05-29,162
2021-06-30,161
2021-05-21,160
2021-03-29,159
2021-05-05,157
2021-05-07,157
2021-02-21,155
2021-03-04,153
2021-03-06,152
2021-03-09,152
2021-03-23,150
2021-04-05,148
2021-03-19,148
2021-04-17,147
2021-03-05,147
2021-04-24,146
2021-02-11,144
2021-04-10,144
2021-05-27,141
2021-05-18,140
2021-02-18,139
2021-02-19,134
2021-03-16,130
2021-02-13,128
2021-03-15,127
2021-04-11,126
2021-03-07,126
2021-05-13,125
2021-05-14,124
2021-05-11,124
2021-05-03,122
2021-02-12,121
2021-05-08,118
2021-04-04,112
2021-03-28,111
2021-03-21,109
2021-03-12,108
2021-03-11,108
2021-05-12,107
2021-07-16,106
2021-03-30,103
2021-04-02,102
2021-05-22,101
2021-02-17,101
2021-03-31,99
2021-03-18,96
2021-04-29,92
2021-05-09,92
2021-03-13,92
2021-04-09,89
2021-04-07,87
2021-03-20,85
2021-05-02,82
2021-03-10,81
2021-02-01,80
2021-04-30,77
2021-05-15,75
2021-04-01,74
2021-01-20,69
2021-02-05,63
2021-03-24,58
2021-02-09,52
2021-02-08,45
2021-01-28,45
2021-01-19,39
2021-01-17,37
2021-01-21,32
2021-01-30,31
2021-03-22,31
2021-01-15,31
2021-02-10,30
2021-01-29,30
2021-02-04,30
2021-05-01,30
2021-02-07,29
2021-02-03,26
2021-02-02,24
2021-01-18,22
2021-01-22,22
2021-01-16,20
2021-01-24,15
2021-02-06,15
2021-01-27,14
2021-01-25,10
2021-01-26,10
2021-01-31,7
2021-01-23,3
