index,day_date
2021-02-02,236
2021-01-06,148
2021-01-08,140
2021-01-10,136
2021-02-08,132
2021-02-07,131
2021-02-03,121
2021-01-07,116
2021-01-11,116
2021-07-10,111
2021-02-04,108
2021-02-18,103
2021-01-12,103
2021-07-15,101
2020-12-15,101
2021-04-07,100
2021-07-14,97
2021-02-06,95
2021-02-13,94
2021-07-05,94
2021-02-16,93
2021-01-28,91
2020-12-16,90
2020-12-14,89
2020-12-13,88
2021-04-09,88
2021-01-31,87
2021-02-19,86
2021-07-06,85
2021-02-25,85
2020-12-17,84
2021-01-18,83
2021-01-09,79
2020-12-12,79
2021-06-11,78
2021-01-15,78
2021-02-09,76
2021-01-05,74
2021-02-20,73
2021-01-17,73
2021-07-08,73
2020-12-30,72
2021-06-21,71
2021-07-02,69
2021-06-02,69
2021-07-12,69
2021-07-07,69
2021-03-10,68
2020-12-29,68
2020-12-20,67
2021-01-20,66
2021-01-19,66
2021-02-14,64
2020-12-19,64
2021-01-14,64
2020-12-10,64
2021-02-01,64
2021-06-22,62
2021-04-22,61
2020-12-18,59
2021-06-29,59
2020-09-16,58
2020-09-15,58
2021-02-21,55
2021-04-08,55
2021-06-23,54
2021-01-13,54
2021-02-05,54
2021-06-17,53
2021-07-01,53
2021-03-09,53
2021-03-04,53
2021-01-27,53
2021-07-13,53
2020-12-09,52
2021-01-01,51
2021-02-27,50
2020-12-01,50
2020-11-10,50
2021-05-26,50
2021-01-26,50
2021-02-28,50
2021-02-11,49
2020-12-23,49
2021-01-04,49
2021-03-05,49
2020-11-30,49
2020-12-31,49
2021-02-10,49
2020-09-19,48
2020-11-21,48
2021-04-18,48
2021-02-12,48
2020-12-25,48
2021-01-30,48
2020-11-14,48
2021-06-01,47
2021-06-30,47
2021-01-29,46
2020-12-27,46
2021-03-28,46
2020-11-11,46
2020-11-07,45
2020-12-05,45
2021-03-02,45
2021-04-02,44
2021-06-28,44
2020-12-06,43
2020-11-08,43
2021-06-10,43
2021-05-02,43
2021-05-03,43
2020-11-04,43
2020-12-26,43
2021-06-08,43
