index,day_date
2021-01-10,55
2021-01-11,39
2021-01-24,38
2021-01-12,37
2021-01-20,34
2021-01-13,33
2021-05-14,31
2021-03-21,31
2021-01-28,30
2021-05-23,29
2021-07-10,26
2021-01-15,25
2021-01-08,24
2021-05-10,24
2021-01-18,24
2020-11-13,24
2020-12-04,23
2021-01-14,22
2021-02-01,22
2021-02-03,22
2021-04-07,22
2021-01-25,22
2021-02-10,21
2021-01-17,21
2021-02-11,21
2021-01-31,20
2021-06-01,20
2021-02-16,20
2021-06-24,19
2021-01-19,19
2021-01-29,19
2020-11-04,19
2021-01-30,19
2021-02-04,19
2020-05-21,19
2021-01-16,19
2020-10-06,18
2021-01-21,18
2021-01-09,18
2020-09-04,18
2021-01-23,18
2021-05-30,18
2021-03-24,18
2021-04-01,17
2021-04-30,17
2021-02-05,17
2021-02-02,17
2021-06-23,17
2021-07-14,16
2021-05-27,16
2021-07-09,16
2021-05-29,16
2021-02-09,16
2021-06-30,16
2021-05-16,16
2021-05-31,15
2021-02-07,15
2021-07-13,15
2021-05-21,15
2021-05-07,15
2020-11-07,15
2020-11-08,15
2021-04-17,15
2021-04-13,15
2021-02-23,14
2021-04-16,14
2021-07-16,14
2021-01-26,14
2021-02-17,14
2021-02-12,14
2021-06-18,14
2021-04-19,14
2021-07-15,14
2021-03-27,14
2020-05-09,14
2021-02-06,13
2021-02-08,13
2021-07-12,13
2021-03-16,13
2021-04-21,13
2020-07-19,13
2021-04-14,13
2020-11-22,13
2020-11-09,13
2021-07-08,13
2021-02-13,13
2021-01-06,13
2021-03-30,12
2020-05-13,12
2021-03-29,12
2020-11-10,12
2021-05-26,12
2021-04-11,12
2021-03-06,12
2021-05-28,12
2021-04-28,12
2021-01-27,12
2020-05-22,12
2021-04-20,12
2020-12-25,12
2021-06-07,12
2021-04-25,12
2021-04-15,12
2020-11-14,11
2021-03-22,11
2021-06-26,11
2020-09-30,11
2021-03-14,11
2021-06-14,11
2021-06-15,11
2021-07-01,11
2020-10-07,11
2020-11-11,11
2021-03-31,11
2021-07-04,11
2021-03-10,11
2021-01-22,11
2021-06-03,11
2021-05-06,11
2020-09-10,10
2021-04-09,10
2020-12-08,10
2020-08-02,10
2020-11-28,10
2020-07-03,10
2020-10-12,10
2020-07-08,10
2021-06-05,10
2021-04-08,10
2020-10-25,10
2021-05-17,10
2020-10-02,10
2020-06-03,10
2021-03-19,10
2020-10-26,10
2020-06-12,10
2020-10-10,10
2020-10-19,10
2020-05-12,10
2021-05-19,10
2020-12-27,10
2020-08-19,10
2020-10-30,10
2020-06-23,10
2020-09-29,10
2021-04-10,10
2021-06-25,10
2021-04-06,10
2021-02-21,9
2020-05-27,9
2021-04-24,9
2020-10-13,9
2020-06-19,9
2021-01-07,9
2020-12-30,9
2020-08-23,9
2021-07-05,9
2020-07-24,9
2021-02-14,9
2021-06-10,9
2021-05-22,9
2021-07-06,9
2021-05-08,9
2021-03-25,9
2020-11-29,9
2020-10-31,9
2020-07-14,9
2020-10-27,9
2021-02-20,9
2020-05-10,9
2020-11-01,9
2021-05-05,9
2020-12-18,9
2021-01-03,9
2021-04-29,9
2020-10-09,9
2020-11-05,9
2021-03-26,9
2020-11-06,8
2020-06-02,8
2020-12-19,8
2020-08-20,8
2021-06-17,8
2020-06-17,8
2021-04-18,8
2021-04-22,8
2021-06-02,8
2021-05-09,8
2020-11-15,8
2021-01-02,8
2020-11-21,8
2021-04-04,8
2020-05-29,8
2020-11-03,8
2020-10-29,8
2021-02-22,8
2020-07-23,8
2020-10-20,8
2021-01-05,8
2021-05-15,8
2020-06-06,8
2021-06-11,8
2021-05-01,8
2020-10-16,8
2021-06-12,8
2020-08-14,8
2021-04-02,8
2021-06-13,8
2020-11-23,8
2021-04-05,8
2021-03-03,8
2021-04-03,8
2021-05-25,7
2020-07-29,7
2020-12-28,7
2021-06-09,7
2020-12-05,7
2020-08-13,7
2021-05-20,7
2021-07-02,7
2021-07-03,7
2020-11-26,7
2020-10-01,7
2020-08-22,7
2020-11-24,7
2020-10-24,7
2021-06-16,7
2021-06-20,7
2021-03-17,7
2020-05-26,7
2021-04-12,7
2020-12-29,7
2021-03-20,7
2021-06-28,7
2020-06-13,7
2021-05-11,7
2020-06-11,7
2021-05-24,7
2021-07-11,7
2020-11-30,7
2021-06-19,7
2021-05-18,7
2020-05-14,7
2021-05-04,7
2021-03-28,7
2020-07-22,7
2020-10-08,7
2020-06-08,7
2020-09-05,7
2020-09-17,7
2020-11-25,7
2020-07-30,7
2021-01-01,6
2020-12-24,6
2020-10-21,6
2020-11-12,6
2021-05-02,6
2020-09-12,6
2020-09-15,6
2021-05-13,6
2020-07-20,6
2021-03-11,6
2020-11-16,6
2020-06-04,6
2021-05-03,6
2021-03-13,6
2020-12-01,6
2020-12-13,6
2020-08-29,6
2021-04-26,6
2020-06-10,6
2021-06-27,6
2020-12-14,6
2020-06-14,6
2020-07-28,6
2020-05-25,6
2020-09-19,6
2020-05-24,6
2020-11-20,6
2020-12-02,6
2020-08-15,6
2020-11-19,6
2020-08-16,6
2021-03-08,5
2020-08-21,5
2021-03-15,5
2020-12-03,5
2020-10-03,5
2020-08-18,5
2021-03-02,5
2021-06-08,5
2020-11-17,5
2021-03-12,5
2020-07-25,5
2020-07-18,5
2020-09-23,5
2020-09-06,5
2020-12-16,5
2020-08-30,5
2020-11-27,5
2020-07-10,5
2020-07-16,5
2020-09-21,5
2020-07-02,5
2020-12-11,5
2020-10-17,5
2021-07-07,5
2021-04-27,5
2020-08-07,5
2021-03-01,5
2021-06-22,5
2020-09-18,5
2020-09-20,5
2020-06-25,5
2020-12-07,5
2020-07-05,5
2021-06-04,5
2020-10-11,5
2020-07-11,5
2020-06-01,5
2020-10-14,5
2020-06-07,5
2020-12-31,5
2020-05-20,5
2020-09-28,5
2021-03-18,5
2020-08-05,5
2020-12-06,5
2020-08-08,5
2020-12-09,5
2020-08-04,4
2020-10-05,4
2020-08-31,4
2020-09-09,4
2020-07-27,4
2020-08-24,4
2020-12-20,4
2020-08-27,4
2021-03-07,4
2020-06-30,4
2021-02-18,4
2021-03-09,4
2020-07-15,4
2021-02-19,4
2021-02-15,4
2020-08-06,4
2020-09-26,4
2020-11-02,4
2020-09-02,4
2021-02-26,4
2020-08-25,4
2020-09-03,4
2020-08-28,4
2020-06-05,4
2020-05-31,4
2020-08-10,4
2021-02-24,4
2020-09-11,4
2020-12-17,4
2021-04-23,4
2020-12-23,4
2020-10-18,4
2020-06-24,4
2020-09-24,4
2021-05-12,3
2020-09-07,3
2020-07-21,3
2020-06-29,3
2020-09-01,3
2020-08-26,3
2020-11-18,3
2020-06-21,3
2020-10-15,3
2020-10-23,3
2020-07-04,3
2020-07-09,3
2020-10-04,3
2021-06-29,3
2020-08-09,3
2021-03-23,3
2020-06-28,3
2020-08-12,3
2020-05-30,3
2020-07-26,3
2020-12-22,3
2021-06-21,3
2020-12-12,3
2020-12-26,3
2020-10-28,3
2020-10-22,3
2020-12-15,3
2021-01-04,3
2021-03-05,3
2020-05-17,3
2020-12-10,3
2021-06-06,3
2020-09-25,2
2020-06-27,2
2020-06-16,2
2020-06-18,2
2020-07-13,2
2020-08-03,2
2020-09-08,2
2020-08-11,2
2020-05-16,2
2020-06-09,2
2020-06-20,2
2020-06-22,2
2020-12-21,2
2021-02-28,2
2020-09-22,2
2020-05-18,2
2020-09-14,2
2020-05-23,2
2020-07-07,2
2020-07-17,2
2020-08-01,2
2020-07-12,2
2020-08-17,2
2020-09-16,2
2020-05-19,2
2020-05-15,2
2021-02-25,1
2020-06-15,1
2020-07-31,1
2020-09-13,1
2020-06-26,1
2020-09-27,1
2020-07-01,1
2021-02-27,1
2021-03-04,1
2020-05-28,1
2020-05-11,1
