index,day_date
2021-07-15,21
2021-07-11,16
2021-07-10,12
2021-07-06,11
2021-07-09,9
2021-05-15,8
2021-06-06,8
2021-07-07,7
2021-06-30,7
2021-05-06,7
2021-04-28,6
2021-06-25,6
2021-05-31,6
2021-07-08,6
2021-07-05,6
2021-06-15,5
2021-07-16,5
2021-03-29,5
2021-06-17,5
2021-04-05,5
2021-07-12,5
2021-05-26,5
2021-06-05,5
2021-06-24,5
2021-06-28,5
2021-06-18,5
2021-05-29,4
2021-03-28,4
2021-05-07,4
2021-05-23,4
2021-05-08,4
2021-04-08,4
2021-06-03,4
2021-03-10,3
2021-03-30,3
2021-05-28,3
2021-07-04,3
2021-07-03,3
2021-05-13,3
2021-06-07,3
2021-06-27,3
2021-05-14,3
2021-04-11,3
2021-05-03,3
2021-06-26,3
2021-06-20,3
2021-07-13,3
2021-06-16,3
2021-03-07,3
2021-06-29,2
2021-03-21,2
2021-05-04,2
2021-05-18,2
2021-06-14,2
2021-07-02,2
2021-06-11,2
2021-04-25,2
2021-04-22,2
2021-04-10,2
2021-03-13,2
2021-05-17,2
2021-06-21,2
2021-03-08,2
2021-03-20,2
2021-04-13,2
2021-04-18,2
2021-06-23,2
2021-05-21,2
2021-04-16,2
2021-04-12,2
2021-05-02,2
2021-06-04,2
2021-05-11,2
2021-07-14,2
2021-03-14,2
2021-06-10,2
2021-04-07,2
2021-03-09,1
2021-05-09,1
2021-04-14,1
2021-02-13,1
2021-04-27,1
2021-04-06,1
2021-03-31,1
2021-06-09,1
2021-05-12,1
2021-05-24,1
2021-04-03,1
2021-05-30,1
2021-04-29,1
2021-05-19,1
2021-04-01,1
2021-04-21,1
2021-04-09,1
2021-05-20,1
2021-04-23,1
2021-04-15,1
2021-05-10,1
2021-05-01,1
2021-06-22,1
