index,day_date
2021-01-11,53
2021-01-12,49
2021-01-10,48
2020-05-16,43
2021-01-17,43
2021-01-13,41
2021-01-20,40
2021-06-04,40
2021-06-26,39
2021-01-09,37
2021-01-15,32
2021-07-06,31
2021-06-14,31
2021-03-23,31
2021-07-15,30
2021-07-03,30
2021-01-19,29
2021-06-08,29
2020-11-06,28
2021-01-08,28
2021-01-30,27
2021-01-21,27
2021-05-04,26
2021-01-14,26
2021-07-13,26
2021-03-28,25
2021-06-16,25
2021-07-12,24
2021-07-10,24
2020-09-27,24
2021-06-28,23
2021-02-11,23
2021-07-09,23
2021-01-22,23
2021-01-16,23
2021-01-18,23
2021-06-29,23
2021-03-26,22
2021-05-05,22
2021-02-10,22
2021-07-07,22
2020-11-20,21
2020-11-29,21
2021-06-15,21
2021-06-06,21
2020-10-10,21
2020-12-30,21
2021-06-03,21
2021-02-01,20
2021-01-29,20
2021-05-23,20
2021-04-22,20
2020-12-14,20
2021-06-17,19
2021-01-25,19
2021-06-11,19
2021-07-04,19
2021-07-08,19
2021-05-27,19
2021-01-24,19
2021-02-13,18
2021-03-02,18
2020-10-27,18
2021-04-19,18
2021-04-05,18
2020-11-12,18
2021-03-25,18
2021-05-18,18
2021-04-28,18
2020-11-08,17
2021-05-17,17
2020-09-02,17
2021-01-06,17
2021-06-09,17
2021-05-12,16
2021-05-25,16
2020-12-22,16
2021-01-28,16
2020-05-17,16
2021-03-22,16
2021-06-24,16
2021-05-14,16
2021-06-07,16
2021-05-11,16
2021-05-09,16
2021-01-26,15
2020-12-23,15
2021-05-01,15
2020-10-05,15
2021-07-16,15
2021-01-27,15
2021-06-18,15
2021-07-11,15
2021-01-23,14
2020-11-25,14
2020-11-05,14
2021-03-30,14
2020-11-04,14
2021-02-07,14
2021-06-01,14
2020-09-19,14
2020-11-11,14
2020-10-29,14
2021-04-23,14
2020-09-20,13
2021-03-24,13
2020-11-07,13
2020-10-28,13
2020-12-04,13
2021-05-21,13
2020-11-09,13
2021-06-27,13
2021-05-16,13
2021-02-06,13
2020-09-05,13
2021-01-07,13
2020-12-06,13
2020-10-14,12
2021-06-10,12
2020-10-12,12
2021-03-12,12
2021-02-27,12
2020-10-25,12
2020-09-30,12
2020-10-26,12
2021-05-15,12
2021-06-02,12
2021-01-31,12
2021-02-24,12
2020-09-26,12
2021-05-08,12
2021-03-06,12
2021-02-03,12
2021-05-06,11
2020-09-06,11
2020-10-03,11
2021-07-05,11
