index,day_date
2021-02-24,287
2021-01-08,124
2021-02-28,91
2021-03-17,83
2021-03-07,82
2021-03-05,81
2021-03-11,76
2021-04-11,73
2021-03-06,73
2020-12-07,69
2021-04-28,68
2021-03-24,65
2021-04-06,64
2021-03-25,64
2021-05-03,63
2021-04-10,63
2021-01-10,61
2021-04-04,60
2021-02-16,58
2021-03-02,57
2021-04-16,55
2021-03-16,54
2021-04-03,54
2021-04-07,51
2020-11-17,50
2021-02-17,47
2021-04-12,46
2021-01-09,45
2021-04-24,43
2021-02-14,42
2021-04-19,41
2021-04-20,40
2021-04-15,40
2021-03-31,37
2020-11-13,37
2021-05-02,37
2021-02-15,36
2020-11-14,35
2021-03-26,35
2021-04-25,35
2020-08-18,35
2021-03-30,33
2021-01-06,33
2021-02-22,33
2021-03-10,32
2021-03-18,30
2020-12-06,30
2021-05-01,28
2020-09-07,27
2021-03-01,27
2021-01-07,27
2021-04-18,26
2020-10-11,26
2021-03-15,26
2020-11-12,26
2020-10-06,25
2021-04-13,25
2021-03-20,25
2021-02-20,24
2020-10-26,24
2021-03-13,24
2020-12-12,23
2021-02-18,23
2021-02-21,23
2020-12-20,23
2021-04-17,22
2021-04-09,22
2020-09-12,22
2021-04-14,22
2021-02-19,22
2020-09-26,21
2021-04-05,21
2021-02-13,21
2021-04-30,21
2020-09-05,21
2021-03-14,21
2021-03-12,21
2021-02-23,20
2020-10-12,20
2021-05-05,20
2021-05-04,20
2021-03-29,20
2021-03-21,20
2021-03-28,20
2021-05-06,20
2020-08-31,19
2021-03-09,19
2020-12-11,18
2021-04-29,18
2021-03-03,18
2020-09-11,18
2021-03-27,17
2021-04-23,17
2020-08-16,17
2021-03-04,17
2020-11-15,17
2021-04-26,17
2021-03-19,16
2020-08-17,16
2021-03-23,15
2021-04-01,15
2021-04-02,15
2020-08-26,15
2021-04-22,15
2020-09-08,15
2021-02-27,15
2021-02-26,14
2020-07-27,14
2020-12-03,13
2020-07-12,13
2020-09-06,13
2020-08-15,13
2020-09-17,13
2021-02-25,13
2021-04-27,13
2020-09-09,13
2020-11-16,12
2021-03-08,12
2020-08-22,12
2020-09-13,12
2020-08-30,12
2020-09-16,12
2020-11-18,12
2021-04-08,12
2020-11-19,12
2020-10-20,12
2021-03-22,12
2020-10-29,11
2020-12-19,11
2020-09-20,11
2020-11-30,11
2020-10-07,11
2020-09-15,11
2020-12-28,11
2020-10-14,11
2021-04-21,11
2020-12-01,10
2020-10-02,10
2020-12-29,10
2020-11-05,10
2020-08-12,10
2020-12-02,10
2020-09-22,9
2020-10-10,9
2020-10-13,9
2020-09-25,9
2020-10-16,9
2021-01-05,9
2020-11-27,9
2020-11-20,9
2021-01-03,9
2020-07-22,9
2020-09-14,9
2020-09-30,9
2020-10-21,9
2020-12-15,9
2020-12-30,8
2021-01-04,8
2021-01-02,8
2020-07-26,8
2020-09-29,8
2020-11-26,8
2020-09-19,8
2020-12-14,8
2020-07-25,8
2020-12-17,8
2021-02-06,8
2020-09-23,8
2020-07-15,8
2020-09-21,8
2020-08-20,8
2020-10-04,7
2020-10-25,7
2020-11-09,7
2020-08-03,7
2020-12-26,7
2020-06-20,7
2020-08-28,7
2020-10-05,7
2020-08-23,7
2020-09-24,7
2020-11-03,7
2020-08-27,6
2021-02-01,6
2020-09-28,6
2020-11-08,6
2020-10-17,6
2020-10-24,6
2020-12-21,6
2020-07-28,6
2021-01-18,6
2020-10-19,6
2020-10-30,6
2020-12-08,6
2020-12-05,6
2020-11-06,6
2020-10-18,6
2020-12-18,5
2020-11-01,5
2020-07-18,5
2020-07-21,5
2020-08-24,5
2020-08-02,5
2020-12-13,5
2020-11-23,5
2020-08-29,5
2020-10-28,5
2020-09-18,5
2020-10-15,5
2020-08-09,5
2020-07-02,5
2020-12-09,5
2020-11-02,5
2020-07-30,5
2020-08-07,5
2020-12-22,5
2020-08-19,5
2020-10-08,5
2021-01-28,5
2020-09-01,4
2020-11-29,4
2020-11-21,4
2020-10-01,4
2020-10-31,4
2020-09-27,4
2021-05-07,4
2020-10-27,4
2021-01-01,4
2020-11-04,4
2020-09-04,4
2021-01-26,4
2020-07-29,4
2020-12-31,4
2020-09-10,4
2021-01-24,4
2020-07-04,4
2020-08-04,4
2020-11-11,3
2020-12-24,3
2020-09-03,3
2020-08-21,3
2020-11-24,3
2020-08-14,3
2021-01-23,3
2021-01-12,3
2020-10-09,3
2020-08-13,3
2021-02-11,3
2020-11-07,3
2020-11-25,3
2020-10-22,3
2020-08-05,3
2020-08-11,3
2020-12-16,3
2020-12-23,3
2020-07-13,3
2020-08-08,3
2020-10-03,3
2020-12-04,2
2020-11-22,2
2020-12-10,2
2020-11-10,2
2021-01-30,2
2020-07-01,2
2021-01-27,2
2020-07-11,2
2020-06-19,2
2020-08-06,2
2020-07-24,2
2020-08-01,2
2020-09-02,2
2020-06-18,1
2021-01-22,1
2020-07-17,1
2021-01-14,1
2021-01-21,1
2021-01-29,1
2021-02-10,1
2020-05-26,1
2020-08-25,1
2021-02-03,1
2020-12-27,1
2020-07-06,1
2021-02-07,1
2020-08-10,1
2020-07-05,1
2020-07-31,1
2020-07-03,1
2020-06-30,1
2020-06-22,1
2021-02-02,1
2020-10-23,1
